"shape_id","shape_pt_lat","shape_pt_lon","shape_pt_sequence"
"406 DOWN","13.19613","77.42413","156"
"406 UP","13.1718","77.53523","156"
"406 DOWN","13.19645","77.42446","157"
"406 UP","13.1718","77.53515","157"
"406 DOWN","13.19833","77.42683","158"
"406 UP","13.17186","77.53489","158"
"406 DOWN","13.20079","77.42996","159"
"406 UP","13.17208","77.53421","159"
"406 DOWN","13.20072","77.43028","160"
"406 UP","13.17224","77.53378","160"
"406 DOWN","13.20047","77.43176","161"
"406 UP","13.17248","77.53302","161"
"406 DOWN","13.20042","77.4321","162"
"406 UP","13.17258","77.5326","162"
"406 DOWN","13.20039","77.43246","163"
"406 UP","13.17259","77.5322","163"
"406 DOWN","13.20144","77.43258","164"
"406 UP","13.17256","77.53158","164"
"406 DOWN","13.20146","77.43245","165"
"406 UP","13.17257","77.5308","165"
"406 DOWN","13.2015","77.43234","166"
"406 UP","13.17261","77.53022","166"
"406 DOWN","13.20161","77.43228","167"
"406 UP","13.17263","77.52962","167"
"406 DOWN","13.20176","77.43228","168"
"406 UP","13.17272","77.52878","168"
"406 DOWN","13.20227","77.43237","169"
"406 UP","13.17284","77.52833","169"
"406 DOWN","13.20235","77.43235","170"
"406 UP","13.17283","77.5282","170"
"406 DOWN","13.20249","77.43228","171"
"406 UP","13.17288","77.5279","171"
"406 DOWN","13.20214","77.43181","172"
"406 UP","13.17344","77.52588","172"
"406 DOWN","13.20205","77.43177","173"
"406 UP","13.17355","77.52555","173"
"406 DOWN","13.20185","77.43152","174"
"406 UP","13.17392","77.52479","174"
"406 DOWN","13.20077","77.43008","175"
"406 UP","13.17421","77.52427","175"
"406 DOWN","13.20079","77.42996","176"
"406 UP","13.17438","77.52401","176"
"406 DOWN","13.20121","77.43049","177"
"406 UP","13.17452","77.52376","177"
"406 DOWN","13.20211","77.43171","178"
"406 UP","13.17498","77.52315","178"
"406 DOWN","13.20214","77.43181","179"
"406 UP","13.17532","77.52279","179"
"406 DOWN","13.20306","77.43304","180"
"406 UP","13.17564","77.5225","180"
"406 DOWN","13.20341","77.43354","181"
"406 UP","13.17606","77.52219","181"
"406 DOWN","13.20426","77.4347","182"
"406 UP","13.17706","77.52148","182"
"406 DOWN","13.20473","77.43531","183"
"406 UP","13.17744","77.52127","183"
"406 DOWN","13.20492","77.43562","184"
"406 UP","13.17774","77.52115","184"
"406 DOWN","13.205","77.4358","185"
"406 UP","13.17832","77.52099","185"
"406 DOWN","13.20592","77.43849","186"
"406 UP","13.17913","77.52093","186"
"406 DOWN","13.20614","77.43903","187"
"406 UP","13.1796","77.52086","187"
"406 DOWN","13.20637","77.43952","188"
"406 UP","13.18031","77.52071","188"
"406 DOWN","13.20652","77.43997","189"
"406 UP","13.18137","77.52054","189"
"406 DOWN","13.20696","77.44103","190"
"406 UP","13.18175","77.52049","190"
"406 DOWN","13.20703","77.44112","191"
"406 UP","13.18205","77.5204","191"
"406 DOWN","13.20719","77.44121","192"
"406 UP","13.18219","77.52031","192"
"406 DOWN","13.20772","77.44128","193"
"406 UP","13.18229","77.52021","193"
"406 DOWN","13.20783","77.44132","194"
"406 UP","13.18238","77.52009","194"
"406 DOWN","13.20793","77.44138","195"
"406 UP","13.18248","77.51988","195"
"406 DOWN","13.20802","77.44146","196"
"406 UP","13.18265","77.51947","196"
"406 DOWN","13.20838","77.44188","197"
"406 UP","13.18278","77.51928","197"
"406 DOWN","13.2086","77.44218","198"
"406 UP","13.18291","77.51913","198"
"406 DOWN","13.20917","77.4431","199"
"406 UP","13.18301","77.51904","199"
"406 DOWN","13.20938","77.44352","200"
"406 UP","13.18308","77.519","200"
"406 DOWN","13.20946","77.44375","201"
"406 UP","13.18317","77.51898","201"
"406 DOWN","13.2096","77.44429","202"
"406 UP","13.18331","77.5188","202"
"406 DOWN","13.20997","77.44603","203"
"406 UP","13.18353","77.51868","203"
"406 DOWN","13.21011","77.44633","204"
"406 UP","13.18377","77.51865","204"
"406 DOWN","13.21015","77.44667","205"
"406 UP","13.18394","77.51864","205"
"406 DOWN","13.21024","77.44723","206"
"406 UP","13.18416","77.51861","206"
"406 DOWN","13.21056","77.44847","207"
"406 UP","13.18422","77.51859","207"
"406 DOWN","13.21058","77.44863","208"
"406 UP","13.18434","77.51849","208"
"406 DOWN","13.21058","77.4488","209"
"406 UP","13.18485","77.51772","209"
"406 DOWN","13.21053","77.44909","210"
"406 UP","13.185","77.51752","210"
"406 DOWN","13.21015","77.45036","211"
"406 UP","13.18637","77.51595","211"
"406 DOWN","13.21011","77.45046","212"
"406 UP","13.18655","77.51573","212"
"406 DOWN","13.20997","77.45062","213"
"406 UP","13.18682","77.51536","213"
"406 DOWN","13.20977","77.4508","214"
"406 UP","13.1872","77.51477","214"
"406 DOWN","13.20968","77.45096","215"
"406 UP","13.18757","77.51401","215"
"406 DOWN","13.20966","77.4511","216"
"406 UP","13.18772","77.51364","216"
"406 DOWN","13.20967","77.4512","217"
"406 UP","13.18792","77.51313","217"
"406 DOWN","13.20976","77.45167","218"
"406 UP","13.18819","77.51232","218"
"406 DOWN","13.20981","77.45183","219"
"406 UP","13.18856","77.51085","219"
"406 DOWN","13.20963","77.45188","220"
"406 UP","13.18853","77.51074","220"
"406 DOWN","13.20955","77.45193","221"
"406 UP","13.1885","77.51031","221"
"406 DOWN","13.20821","77.45293","222"
"406 UP","13.18841","77.50992","222"
"406 DOWN","13.20794","77.45315","223"
"406 UP","13.18829","77.50953","223"
"406 DOWN","13.20766","77.45347","224"
"406 UP","13.18822","77.50913","224"
"406 DOWN","13.20701","77.45415","225"
"406 UP","13.18821","77.50891","225"
"406 DOWN","13.20659","77.45456","226"
"406 UP","13.18822","77.50869","226"
"406 DOWN","13.20635","77.45476","227"
"406 UP","13.18826","77.50846","227"
"406 DOWN","13.20562","77.45529","228"
"406 UP","13.1885","77.50742","228"
"406 DOWN","13.20407","77.45631","229"
"406 UP","13.18857","77.50718","229"
"406 DOWN","13.20309","77.45702","230"
"406 UP","13.18861","77.50708","230"
"406 DOWN","13.20289","77.45704","231"
"406 UP","13.18876","77.50685","231"
"406 DOWN","13.20249","77.45696","232"
"406 UP","13.18899","77.50657","232"
"406 DOWN","13.2022","77.45697","233"
"406 UP","13.18913","77.50637","233"
"406 DOWN","13.20178","77.45705","234"
"406 UP","13.18949","77.50589","234"
"406 DOWN","13.20159","77.4571","235"
"406 UP","13.18972","77.50562","235"
"406 DOWN","13.20145","77.45716","236"
"406 UP","13.18995","77.50543","236"
"406 DOWN","13.20131","77.45736","237"
"406 UP","13.19005","77.50537","237"
"406 DOWN","13.20127","77.45746","238"
"406 UP","13.19031","77.50527","238"
"406 DOWN","13.20125","77.45756","239"
"406 UP","13.19046","77.50523","239"
"406 DOWN","13.20121","77.45794","240"
"406 UP","13.19097","77.50507","240"
"406 DOWN","13.20122","77.45822","241"
"406 UP","13.19112","77.50502","241"
"406 DOWN","13.20124","77.45838","242"
"406 UP","13.19126","77.50495","242"
"406 DOWN","13.20123","77.45867","243"
"406 UP","13.19206","77.50439","243"
"406 DOWN","13.2011","77.45929","244"
"406 UP","13.19229","77.50421","244"
"406 DOWN","13.20095","77.46009","245"
"406 UP","13.19239","77.50411","245"
"406 DOWN","13.2008","77.46074","246"
"406 UP","13.19249","77.50398","246"
"406 DOWN","13.20069","77.46114","247"
"406 UP","13.19267","77.50369","247"
"406 DOWN","13.20062","77.46132","248"
"406 UP","13.1931","77.50269","248"
"406 DOWN","13.20054","77.46146","249"
"406 UP","13.19338","77.50213","249"
"406 DOWN","13.20043","77.46162","250"
"406 UP","13.19345","77.50224","250"
"406 DOWN","13.20033","77.46173","251"
"406 UP","13.19338","77.50213","251"
"406 DOWN","13.19993","77.46209","252"
"406 UP","13.19379","77.50122","252"
"406 DOWN","13.19969","77.46235","253"
"406 UP","13.19386","77.50113","253"
"406 DOWN","13.19944","77.46269","254"
"406 UP","13.19395","77.50106","254"
"406 DOWN","13.19908","77.46327","255"
"406 UP","13.19403","77.50095","255"
"406 DOWN","13.19901","77.46338","256"
"406 UP","13.19426","77.50071","256"
"406 DOWN","13.19895","77.46345","257"
"406 UP","13.19437","77.50062","257"
"406 DOWN","13.19874","77.4636","258"
"406 UP","13.19446","77.50056","258"
"406 DOWN","13.19832","77.46384","259"
"406 UP","13.19479","77.50043","259"
"406 DOWN","13.19818","77.46396","260"
"406 UP","13.19529","77.50032","260"
"406 DOWN","13.1975","77.46465","261"
"406 UP","13.1954","77.50031","261"
"406 DOWN","13.19737","77.46477","262"
"406 UP","13.19563","77.50031","262"
"406 DOWN","13.19599","77.46583","263"
"406 UP","13.19579","77.50033","263"
"406 DOWN","13.19555","77.46623","264"
"406 UP","13.1964","77.50045","264"
"406 DOWN","13.19496","77.46684","265"
"406 UP","13.19722","77.50057","265"
"406 DOWN","13.19479","77.46691","266"
"406 UP","13.19733","77.50057","266"
"406 DOWN","13.19469","77.46691","267"
"406 UP","13.19748","77.50054","267"
"406 DOWN","13.19459","77.46687","268"
"406 UP","13.19761","77.50046","268"
"406 DOWN","13.19316","77.46613","269"
"406 UP","13.19767","77.5004","269"
"406 DOWN","13.19242","77.46581","270"
"406 UP","13.19805","77.49989","270"
"406 DOWN","13.19186","77.46554","271"
"406 UP","13.19824","77.4997","271"
"406 DOWN","13.1913","77.46529","272"
"406 UP","13.19834","77.49962","272"
"406 DOWN","13.19122","77.46528","273"
"406 UP","13.19856","77.4995","273"
"406 DOWN","13.19115","77.46531","274"
"406 UP","13.19895","77.4994","274"
"406 DOWN","13.19109","77.46536","275"
"406 UP","13.19905","77.4993","275"
"406 DOWN","13.19105","77.46543","276"
"406 UP","13.19909","77.49917","276"
"406 DOWN","13.19102","77.4656","277"
"406 UP","13.1992","77.49847","277"
"406 DOWN","13.19099","77.46628","278"
"406 UP","13.19933","77.49716","278"
"406 DOWN","13.19085","77.46842","279"
"406 UP","13.19958","77.49581","279"
"406 DOWN","13.19021","77.47535","280"
"406 UP","13.19967","77.49518","280"
"406 DOWN","13.19022","77.47555","281"
"406 UP","13.19969","77.49491","281"
"406 DOWN","13.19024","77.47562","282"
"406 UP","13.1997","77.49388","282"
"406 DOWN","13.19029","77.4757","283"
"406 UP","13.19972","77.49367","283"
"406 DOWN","13.19035","77.47575","284"
"406 UP","13.1998","77.49326","284"
"406 DOWN","13.1905","77.47581","285"
"406 UP","13.20003","77.49227","285"
"406 DOWN","13.19075","77.47586","286"
"406 UP","13.20013","77.4919","286"
"406 DOWN","13.19152","77.47593","287"
"406 UP","13.20015","77.49177","287"
"406 DOWN","13.19162","77.47598","288"
"406 UP","13.20015","77.49164","288"
"406 DOWN","13.19172","77.4761","289"
"406 UP","13.20012","77.49152","289"
"406 DOWN","13.19194","77.47656","290"
"406 UP","13.20005","77.49142","290"
"406 DOWN","13.19209","77.47699","291"
"406 UP","13.19977","77.4912","291"
"406 DOWN","13.19213","77.47718","292"
"406 UP","13.19929","77.49088","292"
"406 DOWN","13.19217","77.47752","293"
"406 UP","13.19908","77.4907","293"
"406 DOWN","13.19216","77.47792","294"
"406 UP","13.19899","77.49059","294"
"406 DOWN","13.1921","77.47836","295"
"406 UP","13.19868","77.49004","295"
"406 DOWN","13.19201","77.47872","296"
"406 UP","13.1982","77.489","296"
"406 DOWN","13.19191","77.479","297"
"406 UP","13.19816","77.48889","297"
"406 DOWN","13.19179","77.47922","298"
"406 UP","13.19797","77.48814","298"
"406 DOWN","13.19173","77.47931","299"
"406 UP","13.19794","77.48806","299"
"406 DOWN","13.19138","77.47971","300"
"406 UP","13.19787","77.48794","300"
"406 DOWN","13.19056","77.48055","301"
"406 UP","13.19777","77.48786","301"
"406 DOWN","13.19033","77.48077","302"
"406 UP","13.1976","77.48777","302"
"406 DOWN","13.19016","77.48099","303"
"406 UP","13.19684","77.48742","303"
"406 DOWN","13.19012","77.48107","304"
"406 UP","13.19566","77.48682","304"
"406 DOWN","13.19007","77.48124","305"
"406 UP","13.19536","77.48671","305"
"406 DOWN","13.19007","77.48131","306"
"406 UP","13.19506","77.48663","306"
"406 DOWN","13.19012","77.48145","307"
"406 UP","13.19448","77.4865","307"
"406 DOWN","13.19024","77.48161","308"
"406 UP","13.19289","77.48622","308"
"406 DOWN","13.19031","77.48175","309"
"406 UP","13.19285","77.48621","309"
"406 DOWN","13.19033","77.48183","310"
"406 UP","13.19278","77.48617","310"
"406 DOWN","13.19036","77.48225","311"
"406 UP","13.19274","77.48608","311"
"406 DOWN","13.19038","77.48234","312"
"406 UP","13.19274","77.48601","312"
"406 DOWN","13.19044","77.48249","313"
"406 UP","13.19314","77.48435","313"
"406 DOWN","13.1905","77.48257","314"
"406 UP","13.19315","77.48422","314"
"406 DOWN","13.19072","77.48274","315"
"406 UP","13.19312","77.48411","315"
"406 DOWN","13.19125","77.48302","316"
"406 UP","13.19305","77.48402","316"
"406 DOWN","13.191841","77.48339","317"
"406 UP","13.19278","77.48391","317"
"406 DOWN","13.19236","77.48364","318"
"406 UP","13.1926","77.48381","318"
"406 DOWN","13.19248","77.48371","319"
"406 UP","13.19248","77.48371","319"
"406 DOWN","13.1926","77.48381","320"
"406 UP","13.19236","77.48364","320"
"406 DOWN","13.19278","77.48391","321"
"406 UP","13.191856","77.4834","321"
"406 DOWN","13.19305","77.48402","322"
"406 UP","13.19125","77.48302","322"
"406 DOWN","13.19312","77.48411","323"
"406 UP","13.19072","77.48274","323"
"406 DOWN","13.19315","77.48422","324"
"406 UP","13.1905","77.48257","324"
"406 DOWN","13.19314","77.48435","325"
"406 UP","13.19044","77.48249","325"
"406 DOWN","13.19274","77.48601","326"
"406 UP","13.19038","77.48234","326"
"406 DOWN","13.19274","77.48608","327"
"406 UP","13.19036","77.48225","327"
"406 DOWN","13.19278","77.48617","328"
"406 UP","13.19034","77.48191","328"
"406 DOWN","13.19285","77.48621","329"
"406 UP","13.19031","77.48175","329"
"406 DOWN","13.19289","77.48622","330"
"406 UP","13.19024","77.48161","330"
"406 DOWN","13.19448","77.4865","331"
"406 UP","13.19012","77.48145","331"
"406 DOWN","13.19506","77.48663","332"
"406 UP","13.19007","77.48131","332"
"406 DOWN","13.19536","77.48671","333"
"406 UP","13.19007","77.48124","333"
"406 DOWN","13.19566","77.48682","334"
"406 UP","13.19012","77.48107","334"
"406 DOWN","13.19684","77.48742","335"
"406 UP","13.19016","77.48099","335"
"406 DOWN","13.1976","77.48777","336"
"406 UP","13.19033","77.48077","336"
"406 DOWN","13.19777","77.48786","337"
"406 UP","13.19056","77.48055","337"
"406 DOWN","13.19787","77.48794","338"
"406 UP","13.19138","77.47971","338"
"406 DOWN","13.19794","77.48806","339"
"406 UP","13.19173","77.47931","339"
"406 DOWN","13.19797","77.48814","340"
"406 UP","13.19179","77.47922","340"
"406 DOWN","13.19816","77.48889","341"
"406 UP","13.19191","77.479","341"
"406 DOWN","13.1982","77.489","342"
"406 UP","13.19201","77.47872","342"
"406 DOWN","13.19868","77.49004","343"
"406 UP","13.1921","77.47836","343"
"406 DOWN","13.19899","77.49059","344"
"406 UP","13.19216","77.47792","344"
"406 DOWN","13.19908","77.4907","345"
"406 UP","13.19217","77.47752","345"
"406 DOWN","13.19929","77.49088","346"
